193,261
264,259
334,261
373,261
374,260 salida pits
418,242
431,221
453,184
456,147
454,107
454,93
444,83
429,79
383,65
372,67
363,77
362,96
363,115 
355,131
346,124
346,112
340,108
331,108
332,122
330,141
317,150
299,154
270,153
250,153
231,154
211,154
197,154
181,152
151,152
144,179
152,193
156,203
152,218
130,224
117,211
103,183
91,176
64,176
49,177
41,190
51,204
57,220
65,232
85,229
94,231
96,233 pits
109,233 pits
122,237 pits
133,241 pits
146,242 pits
164,242 pits
183,241 pits
203,241 pits
224,240 pits
249,240 taller
272,239 pits
308,245 pits
329,249 pits
100,241
106,251
114,262
150,261
189,261
