361,281
411,302 salida pits
431,326
441,325
448,313
439,294
431,268
424,267
412,264
363,154
353,147
338,137
318,124
287,106
271,99
262,95
250,108
246,134
243,143
225,145
196,142
165,136
131,131
112,133
96,139
80,127
59,112
19,87
10,94
10,106
19,112
29,114
40,120
52,122
59,128
68,136
76,143
85,152
94,168
112,189
121,197
132,193
137,183
147,159
157,155
189,161
212,163
241,168
263,165
274,161
277,152
276,138
282,135
287,132
296,144
303,157
311,173
311,185
320,189 pits
326,204 pits
330,221 pits
341,238 taller
357,253 pits
379,268 pits
392,283 pits
304,189
297,193
283,194
258,186
251,185
255,197
292,230
329,256
360,281
