262,194
275,120 salida pits
298,100
317,95
350,97
373,96
399,85
399,76
375,75
293,77
177,76
41,79
21,86
16,103
25,120
42,132
54,125
49,112
56,103
73,104
95,105
148,105
185,108
196,120
201,135
179,143
160,136
148,140
138,156
144,176
157,186
161,203
166,224
157,238
140,250
95,248
79,245
58,245
39,250
35,259
48,267
71,272
105,281
133,275
153,273
191,271
213,248 pits
226,227 pits
236,202 taller
244,176 pits
256,150 pits
266,131 pits
199,274
205,280
209,291
209,299
203,299
196,297
190,294
188,288
184,285
181,283
175,286
171,297
168,307
175,319
186,324
203,324
215,315
219,302
237,258
261,190
