280,290
329,297
345,291 salida pits
401,302
422,263
423,256
419,253
412,247
414,230
417,220
418,211
394,195
379,187
362,181
351,193
350,205
357,216
373,240
373,256
373,267
315,210
302,199
294,187
274,165
266,157
262,151
249,149
228,155
222,164
190,188
173,217
174,227
159,234
143,235
114,227
90,201
83,190
69,171
68,163
78,165
129,171
149,172
158,172
166,133
150,129
106,119
79,116
51,121
33,146
26,156
27,169
40,188
49,198
58,203
65,216
82,229 pits
106,240 pits
145,248 pits
189,257 pits
220,262 pits
255,268 pits
294,277 pits
63,229
67,241
73,249
124,260
157,267
209,275
281,289
