49,158
38,172
31,185
25,204
23,222
18,232
20,245
38,260
47,265
53,260
54,252
45,232
45,218
47,203
49,195
53,191
63,191
72,187
80,179
85,170
86,165
87,153
93,144
112,125
122,120
145,135
162,145
172,151
186,167
186,175
201,184
219,177
237,189
249,195
268,204
304,216
321,214
338,213
360,207
378,193
395,186
409,178
412,165
393,171
383,176
373,174
375,166
390,149
396,141
398,131
396,124
386,126
357,130
339,134
315,145
314,155
295,178
249,169
236,165
225,158
201,143
177,128
168,120
143,106
127,96
118,93
101,102
94,112
73,132
59,142
56,149
50,157
