201,218
291,217
319,217
322,214 salida pits
321,231
257,244
200,248
146,253
95,257
64,262
58,274
65,288
78,298
124,300
135,300
202,355
222,352
232,312
235,302
231,294
212,259
296,265
329,265
351,265
358,246
355,217
333,182
312,159
278,152
258,161
244,170
215,154
213,116
208,80
201,73
195,71
148,86
87,105
66,111
55,124
50,140
63,181
59,188
57,195
49,195
34,190
26,185
21,192
22,204
26,210
34,210
60,211
74,213
75,201 pits
94,199 pits
116,200 pits
136,201 pits
166,204 pits
182,199 taller
211,198 pits
245,198 pits
265,200 pits
289,200 pits
299,192 pits
313,188 pits
318,201 pits
106,213
128,213
155,214
181,215
197,217
